date,return
2017-03-17,2.8515
2017-03-16,2.8313
2017-03-15,2.8292
2017-03-14,2.8345
2017-03-13,2.8375
2017-03-10,2.8299
2017-03-09,2.8314
2017-03-08,2.8202
2017-03-07,2.8153
2017-03-06,2.8009
2017-03-03,2.807
2017-03-02,2.7759
2016-12-30,2.6449
2016-12-29,2.725
2016-12-28,2.7747
2016-12-27,2.7703
2016-12-26,2.81
2016-12-23,2.8558
2016-12-22,2.8778
2016-12-21,3.0307
2016-12-20,3.1295
2016-12-19,3.0082
2016-12-16,2.9228
2016-12-15,2.8435
2016-12-14,2.7113
2016-12-13,2.7107
2016-12-12,2.5846
2016-12-09,2.5067
2016-12-08,2.4941
2016-12-07,2.4868
2016-12-06,2.4968
2016-12-05,2.399
2016-12-02,2.4667
2016-12-01,2.368
2016-11-30,2.3353
2016-11-29,2.275
2016-11-28,2.2548
2016-11-25,2.2487
2016-11-24,2.2406
2016-11-23,2.2402
2016-11-22,2.237
2016-11-21,2.2366
2016-11-18,2.2353
2016-11-17,2.2322
2016-11-16,2.1883
2016-11-15,2.1734
2016-11-14,2.1718
2016-11-11,2.1867
2016-11-10,2.1743
2016-11-09,2.1554
2016-11-08,2.1612
2016-11-07,2.1552
2016-11-04,2.1667
2016-11-03,2.1587
2016-11-02,2.1692
2016-11-01,2.1639
2016-10-31,2.1772
2016-10-28,2.1843
2016-10-27,2.1696
2016-10-26,2.1519
2016-10-25,2.1418
2016-10-24,2.1426
2016-10-21,2.1417
2016-10-20,2.1268
2016-10-19,2.1416
2016-10-18,2.1498
2016-10-17,2.1532
2016-10-14,2.1582
2016-10-13,2.165
2016-10-12,2.1679
2016-10-11,2.1644
2016-10-10,2.1644
2016-10-09,2.1749
2016-10-08,2.1851
2016-09-30,2.1956
2016-09-29,2.2031
2016-09-28,2.2073
2016-09-27,2.2031
2016-09-26,2.2104
2016-09-23,2.1972
2016-09-22,2.1978
2016-09-21,2.2035
2016-09-20,2.1989
2016-09-19,2.1928
2016-09-18,2.2013
2016-09-14,2.1906
2016-09-13,2.1945
2016-09-12,2.1849
2016-09-09,2.1733
2016-09-08,2.1608
2016-09-07,2.1489
2016-09-06,2.1497
2016-09-05,2.1439
2016-09-02,2.1399
2016-09-01,2.1365
2016-08-31,1.9183
2016-08-30,2.2144
2016-08-29,2.0193
2016-08-26,2.0192
2016-08-25,2.0245
2016-08-24,2.0268
2016-08-23,2.0104
2016-08-22,2.0123
2016-08-19,2.0119
2016-08-18,2.0161
2016-08-17,2.016
2016-08-16,2.054
2016-08-15,2.0576
2016-08-12,2.0678
2016-08-11,2.0713
2016-08-10,2.0752
2016-08-09,2.1383
2016-08-08,2.1191
2016-08-05,2.1186
2016-08-04,2.1165
2016-08-03,2.109
2016-08-02,2.1834
2016-08-01,2.1861
2016-07-29,2.2468
2016-07-28,2.2736
2016-07-27,2.2731
2016-07-26,2.2744
2016-07-25,2.236
2016-07-22,2.2644
2016-07-21,2.2685
2016-07-20,2.2649
2016-07-19,2.2843
2016-07-18,2.3269
2016-07-15,2.3348
2016-07-14,2.3322
2016-07-13,2.3289
2016-07-12,2.328
2016-07-11,2.3088
2016-07-08,2.3444
2016-07-07,2.3499
2016-07-06,2.3741
2016-07-05,2.3059
2016-07-04,2.3058
2016-07-01,2.3969
2016-06-30,2.386
2016-06-29,2.3829
2016-06-28,2.3793
2016-06-27,2.3811
2016-06-24,2.3868
2016-06-23,2.3929
2016-06-22,2.393
2016-06-21,2.3926
2016-06-20,2.3872
2016-06-17,2.3843
2016-06-16,2.3816
2016-06-15,2.3916
2016-06-14,2.3923
2016-06-13,2.3978
2016-06-12,2.3996
2016-06-08,2.3994
2016-06-07,2.3874
2016-06-06,2.3864
2016-06-03,2.3834
2016-06-02,2.3614
2016-06-01,2.3378
2016-05-31,2.3398
2016-05-30,2.3378
2016-05-27,2.3558
2016-05-26,2.3354
2016-05-25,2.3153
2016-05-24,2.3606
2016-05-23,2.3115
2016-05-20,2.3102
2016-05-19,2.3134
2016-05-18,2.3116
2016-05-17,2.3052
2016-05-16,2.3062
2016-05-13,2.3348
2016-05-12,2.3384
2016-05-11,2.3109
2016-05-10,2.307
2016-05-09,2.3663
2016-05-06,2.3146
2016-05-05,2.302
2016-05-04,2.3049
2016-05-03,2.3105
2016-04-29,2.2555
2016-04-28,2.2462
2016-04-27,2.246
2016-04-26,2.2589
2016-04-25,2.1688
2016-04-22,2.1286
2016-04-21,2.1876
2016-04-20,2.1527
2016-04-19,2.1495
2016-04-18,2.1483
2016-04-15,2.1433
2016-04-14,2.1414
2016-04-13,2.1174
2016-04-12,2.1051
2016-04-11,2.0952
2016-04-08,2.0699
2016-04-07,2.0627
2016-04-06,2.0864
2016-04-05,2.0615
2016-04-01,2.0635
2016-03-31,2.0615
2016-03-30,2.0849
2016-03-29,2.0645
2016-03-28,2.0636
2016-03-25,2.0617
2016-03-24,2.0565
2016-03-23,2.0555
2016-03-22,2.0557
2016-03-21,2.0355
2016-03-18,2.0733
2016-03-17,2.0727
2016-03-16,2.097
2016-03-15,2.1263
2016-03-14,2.1506
2016-03-11,2.1741
2016-03-10,2.193
2016-03-09,2.197
2016-03-08,2.1927
2016-03-07,2.1977
2016-03-04,2.1923
2016-03-03,2.192
2016-03-02,2.2175
2016-03-01,2.1934
2016-02-29,2.2622
2016-02-26,2.2736
2016-02-25,2.2644
2016-02-24,2.2798
2016-02-23,2.2727
2016-02-22,2.2812
2016-02-19,2.249
2016-02-18,2.2943
2016-02-17,2.3251
2016-02-16,2.3361
2016-02-15,2.3307
2016-02-14,2.3288
2016-02-06,2.3448
2016-02-05,2.3442
2016-02-04,2.3631
2016-02-03,2.3401
2016-02-02,2.3362
2016-02-01,2.3285
2016-01-29,2.431
2016-01-28,2.4449
2016-01-27,2.4785
2016-01-26,2.4238
2016-01-25,2.399
2016-01-22,2.4011
2016-01-21,2.4001
2016-01-20,2.3826
2016-01-19,2.3724
2016-01-18,2.357
2016-01-15,2.3484
2016-01-14,2.3212
2016-01-13,2.3355
2016-01-12,2.3687
2016-01-11,2.3992
2016-01-08,2.3959
2016-01-07,2.4211
2016-01-06,2.403
2016-01-05,2.4124
2016-01-04,2.3968
2017-08-04,3.3869
2017-08-03,3.3946
2017-08-02,3.3975
2017-08-01,3.4096
2017-07-31,3.3838
2017-07-28,3.3825
2017-07-27,3.3854
2017-07-26,3.3895
2017-07-25,3.3764
2017-07-24,3.3862
2017-07-21,3.393
2017-07-20,3.4146
2017-07-19,3.4248
2017-07-18,3.44
2017-07-17,3.424
2017-07-14,3.4464
2017-07-13,3.4473
2017-07-12,3.4513
2017-07-11,3.4566
2017-07-10,3.4567
2017-07-07,3.459
2017-07-06,3.456
2017-07-05,3.4615
2017-07-04,3.4528
2017-07-03,3.4545
2017-06-30,3.446
2017-06-29,3.4265
2017-06-28,3.4255
2017-06-27,3.4148
2017-06-26,3.4678
2017-06-23,3.4903
2017-06-22,3.4904
2017-06-21,3.4898
2017-06-20,3.4858
2017-06-19,3.5889
2017-06-16,3.5989
2017-06-15,3.5764
2017-06-14,3.62
2017-06-13,3.5991
2017-06-12,3.6237
2017-06-09,3.6535
2017-06-08,3.6528
2017-06-07,3.5135
2017-06-06,3.518
2017-06-05,3.4978
2017-06-02,3.4831
2017-06-01,3.4795
2017-05-31,3.4988
2017-05-27,3.5322
2017-05-26,3.5613
2017-05-25,3.571
2017-05-24,3.5709
2017-05-23,3.5263
2017-05-22,3.5358
2017-05-19,3.51
2017-05-18,3.4841
2017-05-17,3.5174
2017-05-16,3.4726
2017-05-15,3.4955
2017-05-12,3.4677
2017-05-11,3.4649
2017-05-10,3.4627
2017-05-09,3.317
2017-05-08,3.2989
2017-05-05,3.3007
2017-05-04,3.3227
2017-05-03,3.1905
2017-05-02,3.1773
2017-04-28,3.2041
2017-04-27,3.1222
2017-04-26,3.1188
2017-04-25,3.1188
2017-04-24,3.1075
2017-04-21,3.1179
2017-04-20,3.1277
2017-04-19,3.1039
2017-04-18,3.0953
2017-04-17,3.0277
2017-04-14,2.9621
2017-04-13,2.9568
2017-04-12,2.9577
2017-04-11,2.9534
2017-04-10,2.9515
2017-04-07,2.9561
2017-04-06,2.9678
2017-04-05,2.8603
2017-04-01,2.842
2017-03-31,2.8645
2017-03-30,2.8661
2017-03-29,2.8845
2017-03-28,2.8601
2017-03-27,2.8688
2017-03-24,2.8728
2017-03-23,2.9166
2017-03-22,2.877
2017-03-21,2.8842
2017-03-20,2.8572
2017-03-01,2.734
2017-02-28,2.7208
2017-02-27,2.726
2017-02-24,2.7489
2017-02-23,2.7654
2017-02-22,2.741
2017-02-21,2.7088
2017-02-20,2.7442
2017-02-17,2.7308
2017-02-16,2.7667
2017-02-15,2.8099
2017-02-14,2.8046
2017-02-13,2.8036
2017-02-10,2.8427
2017-02-09,2.8447
2017-02-08,2.826
2017-02-07,2.8019
2017-02-06,2.7991
2017-02-04,2.7347
2017-02-03,2.7387
2017-01-26,2.6884
2017-01-25,2.6925
2017-01-24,2.6313
2017-01-23,2.6544
2017-01-22,2.6534
2017-01-20,2.6645
2017-01-19,2.6567
2017-01-18,2.6687
2017-01-17,2.6657
2017-01-16,2.6376
2017-01-13,2.7057
2017-01-12,2.7273
2017-01-11,2.7334
2017-01-10,2.7435
2017-01-09,2.8155
2017-01-06,2.7846
2017-01-05,2.784
2017-01-04,2.7574
2017-01-03,2.6871
2017-09-07,3.4799
2017-09-06,3.4283
2017-09-05,3.428
2017-09-04,3.4043
2017-09-01,3.3987
2017-08-31,3.3825
2017-08-30,3.3679
2017-08-29,3.3582
2017-08-28,3.3533
2017-08-25,3.3492
2017-08-24,3.3422
2017-08-23,3.34
2017-08-22,3.3381
2017-08-21,3.3364
2017-08-18,3.3355
2017-08-17,3.3446
2017-08-16,3.3468
2017-08-15,3.3366
2017-08-14,3.3507
2017-08-11,3.3545
2017-08-10,3.3664
2017-08-09,3.3689
2017-08-08,3.3735
2017-08-07,3.3524
2017-09-20,3.4556
2017-09-19,3.4634
2017-09-18,3.468
2017-09-15,3.4675
2017-09-14,3.479
2017-09-13,3.4904
2017-09-12,3.488
2017-09-11,3.4601
2017-09-08,3.4661
2017-10-19,3.4855
2017-10-18,3.5036
2017-10-17,3.5045
2017-10-16,3.5119
2017-10-13,3.4753
2017-10-12,3.4851
2017-10-11,3.49
2017-10-10,3.4757
2017-10-09,3.4569
2017-09-30,3.4449
2017-09-29,3.4492
2017-09-28,3.4444
2017-09-27,3.4488
2017-09-26,3.4441
2017-09-25,3.4417
2017-09-22,3.4526
2017-09-21,3.4524
2017-10-20,3.4878
2017-10-23,3.4812
2017-10-24,3.4797
2017-10-25,3.4831
2017-10-26,3.5066
2017-10-27,3.5387
2017-10-30,3.5352
2017-10-31,3.55
2017-11-01,3.5374
2017-11-02,3.563
2017-11-03,3.5729
2017-11-06,3.5767
2017-11-07,3.5867
2017-11-08,3.5864
2017-11-09,3.5508
2017-11-10,3.557
2017-11-13,3.561
2017-11-14,3.5714
2017-11-15,3.613
2017-11-16,3.6462
2017-11-17,3.6448
2017-11-20,3.6563
2017-11-21,3.6421
2017-11-22,3.6515
2017-11-23,3.652
2017-11-24,3.6418
2017-11-27,3.6515
2017-11-28,3.6826
2017-11-29,3.6576
2017-11-30,3.6503
2017-12-01,3.6585
2017-12-04,3.6341
2017-12-05,3.6431
2017-12-06,3.6491
2017-12-07,3.7492
2017-12-08,3.7517
2017-12-11,3.775
2017-12-12,3.8044
2017-12-13,3.7844
2017-12-14,3.7743
2017-12-15,3.7834
2017-12-18,3.7787
2017-12-19,3.7702
2017-12-20,3.7908
2017-12-21,3.805
2017-12-22,3.7824
2017-12-25,3.7918
2017-12-26,3.7873
2017-12-27,3.7666
2017-12-28,3.7911
2017-12-29,3.7579
2018-01-02,3.6953
2018-01-03,3.6707
2018-01-04,3.6117
2018-01-05,3.5941
2018-01-08,3.5653
2018-01-09,3.5548
2018-01-10,3.5595
2018-01-11,3.6009
2018-01-12,3.5874
2018-01-15,3.5948
2018-01-16,3.5801
2018-01-17,3.5886
2018-01-18,3.5774
2018-01-19,3.5662
2018-01-22,3.5552
2018-01-23,3.5479
2018-01-24,3.5405
2018-01-25,3.5171
2018-01-26,3.519
2018-01-29,3.5256
2018-01-30,3.5107
2018-01-31,3.5131
2018-02-01,3.4851
2018-02-02,3.4852
2018-02-05,3.4711
2018-02-06,3.4268
2018-02-07,3.4204
2018-02-08,3.4354
2018-02-09,3.4388
2018-02-11,3.4214
2018-02-12,3.418
2018-02-13,3.4187
2018-02-23,3.4379
2018-02-22,3.4197
2018-02-14,3.3924
2018-02-24,3.4161
2018-02-26,3.3773
2018-02-27,3.315
2018-02-28,3.3501
2018-03-01,3.2821
2018-03-02,3.2521
2018-03-05,3.2862
2018-03-06,3.2862
2018-03-07,3.2835
2018-03-08,3.2719
2018-03-09,3.2973
2018-03-12,3.2877
2018-03-13,3.2947
2018-03-14,3.3127
2018-03-15,3.2987
2018-03-16,3.3077
2018-03-19,3.3095
2018-03-20,3.3234
2018-03-21,3.2958
2018-03-22,3.2842
2018-03-23,3.2296
2018-03-26,3.2775
2018-03-27,3.277
2018-03-28,3.2862
2018-03-29,3.2868
2018-03-30,3.3029
2018-04-03,3.3072
2018-04-02,3.3193
2018-04-04,3.305
2018-04-08,3.2993
2018-04-09,3.2868
2018-04-10,3.2802
2018-04-11,3.2891
2018-04-12,3.2812
2018-04-13,3.2637
2018-04-16,3.1896
2018-04-17,3.1967
2018-04-18,3.0784
2018-04-19,2.9387
2018-04-20,3.0174
