assign,alpha,alpha_t,alpha_p,beta,beta_t,beta_p,R^2
1,0.010516358860615485,0.8968821089950841,0.37399613123995323,1.5557329633068064,4.672985775628543,2.2042445813442067e-05,0.2998044565479001
15,0.010782692387344027,1.1140145239649963,0.270495658224465,1.5536761970517525,5.653450469259507,7.121869053602692e-07,0.38525703317298066
251,0.01328427252339683,1.7593062411588694,0.08452341038614279,1.5308861133792113,7.140621160517681,3.2636083857588305e-09,0.4999434767385762
35,0.012094175076714475,1.6828776887173875,0.09851185915451509,1.504018025054367,7.370870560641887,1.4137818709957248e-09,0.5158062340639018
29,0.008723804087833936,1.5589722924191696,0.12518745116910399,1.496130707155031,9.416542509280655,9.613922364218588e-13,0.634856911038487
9,0.011416471280324768,1.541684508969678,0.12933284829464137,1.4804812781536112,7.04135080873221,4.68256006638614e-09,0.4929440742596941
8,0.007952256130613107,1.1624228546126758,0.2504745140884179,1.4732210191522228,7.58457288474864,6.513597691605511e-10,0.5300654273016508
10,0.010301837479776912,1.225511673801478,0.22601193965028332,1.4719695516386844,6.167242519684277,1.1209369435072102e-07,0.4271907837680712
71,0.007692992412009138,1.1484518223770264,0.25614029938692395,1.4702351143610626,7.730253040127076,3.844755257732673e-10,0.5395317087101725
24,0.009232939396431543,1.3409771952723537,0.18586996834348685,1.4402433661605563,7.3672724853575495,1.4323696209430257e-09,0.5155623407313523
216,0.010091212474525482,2.3866552547347175,0.020749871782509276,1.424511754099295,11.865931028113051,2.7580981996703584e-16,0.7340984612418234
250,0.011110015981516714,1.3033865403646991,0.19829634299103677,1.4208312749070524,5.8707082513231175,3.2676582093494166e-07,0.4032659980095592
53,0.007330580626297056,1.232050802591789,0.22358038234912805,1.4141881738405575,8.37118393284419,3.836927304526719e-11,0.5787794729183912
12,0.011645644578268223,1.5574738588108907,0.12554248447231522,1.4125179129186725,6.653354145336091,1.9206857711488017e-08,0.46466315703162364
69,0.007256314348695965,1.1383597464209638,0.2602896542094362,1.3929198841522152,7.696247436732525,4.347830908453543e-10,0.5373403722764861
48,0.007846422077920837,1.353525872162281,0.18185642185746317,1.3870766316966259,8.42722894388414,3.140956789538446e-11,0.5820295238540387
4,0.00878502851836061,1.1045441120320354,0.2745411963084058,1.3752122039022943,6.0897441799932945,1.4834697477287358e-07,0.42101368949470275
213,0.012449554097215336,3.280498565625057,0.0018724065843819455,1.3616776291111239,12.637169193634408,2.4735636930541856e-17,0.7579474458594018
59,0.006416514064913697,1.1088174498015033,0.272710487661821,1.3609454087580446,8.28306459615634,5.2585364130966636e-11,0.5736112486535123
49,0.007193719677364745,1.176401951582193,0.24489619833157064,1.3591850794463496,7.828350576390699,2.697480326816807e-10,0.5457908413766788
19,0.005102458653621967,0.7838993610481763,0.43672486068800775,1.359184976192387,7.354426698238249,1.5007525495580835e-09,0.5146905643151656
5,0.00710038230968933,0.9420025195199688,0.3506322943406017,1.3547213492141854,6.330088007830234,6.214172230505191e-08,0.43999130278658194
249,0.006881746503760884,1.1593559364016146,0.2517104846900308,1.3541921345920944,8.035036395914583,1.2807456080193963e-10,0.5586777322773144
16,0.006373037665345569,0.9240290112905387,0.3598226619814785,1.3364429498098143,6.824628067128686,1.0301378501574944e-08,0.47732807130218236
51,0.004562290107939181,0.7902116465818061,0.4330632415036435,1.3329477307539477,8.131358148456698,9.059540008437511e-11,0.5645454077952408
180,0.005524317032522216,1.13312624944032,0.26246016677767264,1.3300237905649548,9.608344315294312,4.946602364418255e-13,0.6441536408612273
97,0.0038324127881182372,0.5507081772178112,0.5842381472576688,1.3283369164001468,6.722749499692883,1.492276598698894e-08,0.4698289027976197
2,0.006433505919038448,0.7370318387052599,0.46448027468105657,1.3268083791791745,5.353480090859717,2.0696489035280277e-06,0.35977704440528224
81,0.0055174968698751955,1.0429894805800959,0.30187207280453354,1.3265039305133879,8.8315273047302,7.471815149925819e-12,0.6046385189901513
56,0.004823944478638747,0.9274902612986046,0.3580408166851372,1.3158164660700302,8.91028953567624,5.658174083081127e-12,0.6088754882522129
117,0.004697134692819049,0.9632367326490496,0.33997389186602833,1.3148592109327832,9.496612491557645,7.281353735956504e-13,0.6387734842165438
45,0.009468321911710835,1.2922390232565468,0.20209911434564734,1.3120170277083592,6.3066503005133265,6.765376859738545e-08,0.4381641107571559
3,0.003155718486865946,0.3609741666314516,0.7196097648234467,1.3116032215300606,5.284084879458706,2.6443058174314994e-06,0.35378869202700813
28,0.0034599346019441165,0.6052888241348607,0.547671235289197,1.3036207328889624,8.032217615622539,1.293799480468636e-10,0.558504704977378
60,0.00393629749138531,0.579223078991957,0.5649884419195306,1.2984651446764204,6.729420745335527,1.456501444558478e-08,0.47032304987745854
205,0.011955348201517993,2.9515576656378837,0.00476802611052818,1.2973873138221985,11.281013841934529,1.8074489491627236e-15,0.7139030869951093
87,0.0017411780616103094,0.35452883792678325,0.72440438749874,1.295349687841563,9.289339757225113,1.497074186703669e-12,0.6285285232261013
7,0.0023946435761775754,0.29799302651856857,0.7669191289250391,1.291632651301387,5.6610068047500715,6.932044103688583e-07,0.38588990328908346
105,0.005934354464026397,0.9795500395977108,0.33193227267464553,1.2889395013380303,7.493334477550711,9.066105364903489e-10,0.5240320048160056
39,0.004448018151068011,0.7219069960389094,0.4736487141138116,1.2820602075576122,7.328457315837314,1.649156072899284e-09,0.5129232289538228
